nombre_show,tipo_show,precio,duracion,artista,local,nota_atrapalo,numero_opiniones
Laura del Val- De Burgos también se sale,show,11.0,70.0,Laura del Val,El Golfo Comedy Club,9.7,75.0
Comedia Subterránea. Open Mic,open_mic,7.0,60.0,rotativo,Teatro de las Aguas,9.8,24.0
"Alicia Lobo - Hola, no me líes",show,9.6,70.0,Alicia Lobo,Cinesa Fuencarral,10.0,20.0
Mangos y Papayas: Ivan Perlaza & Javi Bueno,show,10.0,70.0,"Javi Bueno, Iván Perlaza",El Sombrerero Comedy Club,9.8,43.0
Goloso de Micro.,show,10.0,120.0,"Diego Daño, Eva Soriano, Fran Pati, Nacho García",El Golfo Comedy Club,9.1,125.0
Yo maté al Rey León - Dani Delacámara,show,10.0,90.0,Dani delacámara,Cinesa Fuencarral,9.5,359.0
"La Cueva Comedy  Club, Open Mic!!!",open_mic,6.0,60.0,rotativo,Teatro de las Aguas,9.1,312.0
Open Beer - Open Mic de stand-up comedy,open_mic,8.0,70.0,rotativo,Beer Station,9.4,133.0
Alex Gozalo. Tiempos confusos.,show,12.0,70.0,Alex Gozalo,El Golfo Comedy Club,9.5,23.0
De Albacete al fin del mundo - Rubén Faura,show,8.0,60.0,Rubén Faura,Estación Malasaña,9.7,275.0
Manu Partida. Gafe.,show,12.0,70.0,Manu Partida,El Golfo Comedy Club,9.8,44.0
Rita Rojo.- ¡¿A quién no le va a gustar?!,show,11.0,70.0,Rita Rojo,El Golfo Comedy Club,9.9,24.0
"Isabel Rey - Diva de barrio, un show de comedia",show,10.0,60.0,Isabel Rey,Beer Station,9.8,28.0
Fran Pati: Moder-No,show,11.0,70.0,Fran Pati,El Golfo Comedy Club,9.7,112.0
"Nene, ¡Que me jodan! , un monólogo muy jodido",show,12.0,70.0,Nene,Beer Station,9.3,32.0
Felipe Mateos. El odio viene en frascos pequeños.,show,11.0,70.0,Felipe Mateos,El Golfo Comedy Club,9.7,52.0
Tiquismiquis - Mikel Bermejo,show,15.0,60.0,Mikel Bermejo,Teatro Arlequín Gran Vía,9.6,199.0
Pedro Ángel Roca.- Arde Murcia,show,11.0,70.0,Pedro Ángel Roca,El Golfo Comedy Club,9.9,34.0
"No es fácil ser fácil, de Silvia De Frente",show,12.0,70.0,Silvia De Frente,El Golfo Comedy Club,9.8,74.0
El Dojo Comedia,show,8.0,70.0,"Edu Halmoguera, Varios Artistas",El Golfo Comedy Club,9.6,150.0
Monólogos en la Chocita del Loro Carabanchel,show,10.0,80.0,"Archie Bezos, Dani Alés, Raúl Navareño, Danny Boy-Rivera , Richard Salamanca, Alex Salaberri, David Cepo",Teatro Chocita del Loro - Carabanchel,8.9,5208.0
Un mancheguico por Madrid. Marce González,show,10.0,60.0,Merce Gonzalez,Teatro de las Aguas,9.6,72.0
Ilusión. Javier Del Mar,show,10.0,60.0,Javier Del Mar,Teatro de las Aguas,9.1,20.0
¡Es lo que hay! un show de Carlos Suárez e Iria Parada,show,11.0,60.0,Carlos Suárez Iria Parada,Beer Station,9.6,29.0
Coria Castillo con Nací princesa porque zorras sobraban,show,14.0,75.0,Coria Castillo,Beer Station,9.5,414.0
Luis Álvaro - El espectáculo,show,12.0,75.0,Luis Álvaro,Beer Station,9.0,186.0
Impro-Monologos,show,8.0,60.0,Enrique el Grande,Clandestino Café Teatro,9.6,20.0
Monólogos de humor - Chocita del Loro Gran vía,cuenta_local,15.0,90.0,varios,Teatro Chocita del Loro - Gran Vía,8.8,14386.0
Mangos y Papayas - Gran Vía,show,8.5,75.0,"Iván Perlaza, Javi Bueno",Cervecería Valverde Comedy Club,9.8,81.0
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,show,12.0,70.0,"Fer Bleda, Carles Cuevas",El Golfo Comedy Club,9.6,31.0
Poco se habla de Sexo - Madrid,show,8.0,70.0,"Jorge Santos, Adrián Serna",El Sombrerero Comedy Club,9.9,21.0
"No soy yo, eres tú David Carrascosa",show,10.0,65.0,David Carrascosa,Collage Burlesque,9.9,170.0
Diego Arjona - Me veo en Wallapop,show,12.0,60.0,Diego Arjona,Sala Houdini,10.0,23.0
Albert Boira.- Que nos pille viviendo,show,12.0,70.0,Albert Boira,El Golfo Comedy Club,9.5,28.0
Fango - Rober Bodegas,show,18.0,60.0,Rober Bodegas,Pequeño Teatro Gran Vía de Madrid,9.5,355.0
"Borderline, Nico Lozano",show,10.0,60.0,Nico Lozano,Teatro de las Aguas,9.1,50.0
Mangos y Papayas: Javi Bueno & Iván Perlaza,show,9.0,70.0,"Javi Bueno, Iván Perlará",MadBeerHall,9.8,37.0
"Malasañero para principantes, de Manu Kas",show,10.0,50.0,Manu Kas,Teatro de las Aguas,8.8,151.0
Mierda Fresca Open - Stand-Up Comedy presentado por Richard Salamanca,open_mic,8.0,80.0,rotativo,Beer Station,9.4,49.0
Super Duper. Mario Velasco,show,10.0,60.0,Mario Velasco,Teatro de las Aguas,9.4,30.0
Sparks- El show de humor negro - Silvia Sparks,show,12.0,70.0,Silvia Sparks,Beer Station,9.4,62.0
Open Open Mic. El micro abierto más abierto.,open_mic,3.0,70.0,rotativo,El Golfo Comedy Club,9.3,79.0
Paula Púa.- Traca. Un monólogo de una hija única.,show,11.0,70.0,Paula Púa,El Golfo Comedy Club,9.5,19.0
Vermut Rojo Open Mic,open_mic,3.0,50.0,rotativo,Tropicana Beach Club Madrid,9.4,78.0
Ladys Night en Beer Station,show,11.0,70.0,Nayra Pérez,Beer Station,9.4,89.0
No Disparen al Cómico - Manu Chacón,show,10.0,70.0,Manu Chacón,Abonavida,9.8,201.0
"Femininity, un show de Patri Muñoz",show,11.0,70.0,Patri Muñoz,El Golfo Comedy Club,9.2,37.0
Diego Daño. Viviendo para Instagram,show,11.0,70.0,Diego Daño,El Golfo Comedy Club,9.1,295.0
Juan Moreno presenta ¡Embustero!,show,10.0,70.0,Juan Moreno,MadBeerHall,9.4,43.0
Kalderas - Stand Up Comedy,show,11.0,60.0,Kalderas,Beer Station,9.3,60.0
Open Magic,open_mic,8.0,90.0,rotativo,La Cripta Mágica,9.6,47.0
Alberto Sierra. De profesión: gafas.,show,11.0,70.0,Alberto Sierra,El Golfo Comedy Club,9.4,15.0
Sinacio presenta Toca Reír,show,12.0,90.0,Sinacio,Beer Station,9.0,12.0
Vero Berenguer y Sandra U.- Enfermizas,show,11.0,70.0,"Sandra U, Vero Berenguer",El Golfo Comedy Club,9.2,16.0
Lgtb Comedy Jam,show,5.0,90.0,"Albert Boira, Archie Bezos, Libertad Montero",Intruso Bar,9.4,155.0
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,show,8.0,70.0,"Bianca Kovacs, Carmen Romero",Beer Station,9.3,23.0
Malhablado - Un show de Raúl Fervé,show,10.0,70.0,Raúl Fervé,Beer Station,9.2,29.0
"Nacho García: Estoy mayor, en Madrid",show,10.0,80.0,Nacho García,Cine Palacio de la Prensa,9.1,1138.0
Los 30 son los nuevos ...  ¡Vete a la mierda! - Jorge Santos,show,12.0,80.0,Jorge Santos,Teatro Bellas Artes,9.5,214.0
Los 30 son los nuevos ... ¡Vete a la mierda! - Jorge Santos,show,10.0,75.0,Jorge Santos,Sala Galileo Galilei,9.5,203.0
Ruta 66 Open Mic,open_mic,3.0,75.0,rotativo,Tropicana Beach Club Madrid,9.4,33.0
Silvia Sparks. El show de humor negro,show,11.0,70.0,Silvia Sparks,El Golfo Comedy Club,9.2,51.0
Par de notas - Álvaro Seko y Fernando 'El Pelao',show,15.0,90.0,"Alvaro Seko, Fernando 'El Pelao'",Teatro Chocita del Loro - Gran Vía,9.1,56.0
La Factoría de la Comedia - Openmic,open_mic,6.0,75.0,rotativo,El Sombrerero Comedy Club,9.4,120.0
"Comedia Sin Miedo Open Mic , monologo de standup comedy",open_mic,2.5,70.0,rotativo,Estación Malasaña,9.6,64.0
Eva Cabezas. A las calles,show,12.0,70.0,Eva Cabezas,El Golfo Comedy Club,9.0,13.0
La Maricomedia - Un Show Drag Heterofriendly,show,8.0,60.0,Dramma D'Onore,Clandestino Café Teatro,9.5,80.0
"Barbie Boy, un monólogo de comedia tartamuda",show,5.0,65.0,El Gago,Estación Malasaña,9.7,37.0
Vagos y maleantes,show,7.5,70.0,"edu battaner, serna",Bala Perdida Club (Hotel Axel Madrid),9.4,147.0
"Open Mic, La Trinchera",open_mic,5.0,75.0,rotativo,Tropicana Beach Club Madrid,9.3,14.0
De Madrid Al Suelo,show,10.0,70.0,"Juan de Dios, Oscar Nos",Abonavida,9.6,44.0
No te atasques con tu vida - Joan Natzari,show,10.0,60.0,Joan Natzari,Teatro de las Aguas,8.6,228.0
Momentos de ternura. Con Edu Halmoguera y Pablo Medina,show,12.0,70.0,Pablo Medina,El Golfo Comedy Club,9.0,17.0
Chic  Comedy - Monólogos,show,3.5,80.0,"Javi Delpe, Javi DelPe",Estupenda Bar,9.0,194.0
Los perros no hablan,show,8.0,90.0,"Paco Páez, Charlie Under",Sala Kathedral,9.3,91.0
Los Monólogos de Clandestino Café-Teatro Gran vía,cuenta_local,8.0,60.0,varios,Clandestino Café Teatro,8.4,71.0
¡Tampoco es para tanto! - Javi Bravo,show,8.0,60.0,Javi Bravo,Estación Malasaña,9.3,140.0
No + Reglas,show,7.0,70.0,"Carlos Moreno, Daniel Celester",Collage Burlesque,9.3,10.0
¡Hostia Patxi! un monólogo en Madrid,show,10.0,70.0,Patxi Zubeldia,MadBeerHall,9.2,71.0
El micro abierto de la Estupenda,open_mic,3.0,80.0,rotativo,Estupenda Bar,9.0,57.0
Comedia sin Límites - Monólogos y mucho más,show,12.0,70.0,"Juan Solo, Richard Salamanca",Beer Station,8.6,34.0
Archie Bezos.- graciOSO,show,12.0,70.0,Archie Bezos,El Golfo Comedy Club,8.8,21.0
Dos Gordos muy Grasiosos,show,13.0,60.0,"Javi Delpe, Aitor Vega",Vodevil Circus,9.5,29.0
Tinder Sorpresa,show,15.5,90.0,Andreu Casanova,Teatro Real Carlos III de Aranjuez,9.1,1822.0
Punch Comedy English.- Stand up Comedy in English,show,7.0,90.0,Silvia Sparks,El Golfo Comedy Club,9.3,26.0
Juanma Molina y Ruinas Planchuelo - Del Sur,show,15.0,90.0,"Ruinas Planchuelo, Juanma Molina",Teatro Chocita del Loro - Gran Vía,9.3,23.0
Luismi - Colocado cabe 4.0,show,15.0,90.0,Luismi,Teatro Chocita del Loro - Gran Vía,9.0,285.0
Fernando García - Lo que yo sé de las mujeres,show,17.0,90.0,Fernando García-Torres,Teatro Chocita del Loro - Gran Vía,8.9,345.0
Comedy Rally,show,7.0,90.0,Bhonny Lorenzo,Estación Malasaña,9.1,73.0
Estación Comedy,cuenta_local,2.5,60.0,varios,Estación Malasaña,8.6,137.0
Kabraloker - Mas Loco Que Una Cabra,show,10.0,60.0,Gustavo Biosca,Clandestino Café Teatro,8.8,57.0
Soy Tóxica,show,7.5,70.0,"Victoria Santos, Yolanda Mora, Noa Sánchez ""La muñeka""",Bala Perdida Club (Hotel Axel Madrid),9.0,60.0
Probando material,show,7.0,95.0,Gustavo Capiello,El Golfo Comedy Club,8.3,12.0
"Dos Gordos muy Grasiosos, en Estupenda Bar",show,6.0,75.0,"Javi Delpe, Aitor Vega",Estupenda Bar,9.0,67.0
Si te ríes: ¡Gano! - Concurso de monólogos (En Galileo Galilei),concurso,10.0,90.0,rotativo,Sala Galileo Galilei,8.5,58.0
"MILF (Mujer inteligente, libre y feliz)",show,10.0,60.0,"Belén Caccia, Victoria Santos, Laura del Val, Vero Jofre, Sandra U, Paula Pirela, Tatiana Ruiz, Tatiana Cirese",Collage Burlesque,9.0,75.0
"Daniel Fez. La vida Regulinchi, en Madrid",show,16.0,60.0,Daniel Fez,Teatro Alcázar,,
El Unipersonal de Luciano Mellera,show,20.0,60.0,Luciano Mellera,Teatro EDP Gran Vía,,
Momi Giardina - Cualquier cosa te llamamos,show,20.0,60.0,Momi Giardina,Pequeño Teatro Gran Vía de Madrid,,
Racional - Pablo Molinari en Madrid,show,20.0,90.0,Pablo Molinari,Cinesa Fuencarral,,
Miki Dkai: Personal Trainer,show,12.0,70.0,Miki Dkai,Teatro Arlequín Gran Vía,0.8,1.0
Nacho García en El Golfo Comedy Club,show,11.0,70.0,Nacho García,El Golfo Comedy Club,9.6,6.0
Gente bien,show,10.0,60.0,"carlos moreno, angel de los rios",Teatro de las Aguas,8.2,5.0
Alex Clavero y Karim - Noche de Monólogos,show,15.0,70.0,"Alex Clavero, Karim",Beer Station,10.0,2.0
Lo positivo de fracasar en el amor,show,11.2,60.0,Pablo Piñeiro,Teatro Lara,,
Transplantar,show,11.2,60.0,pep noguera,Teatro Lara,,
Mi gran noche griega. Dzimis Tsapas. The Greek Dzinious,show,12.0,60.0,Dzimis Tsapas,Teatro de las Aguas,,
¡Por fin solo!,show,16.0,90.0,Carles Sans,Teatro Reina Victoria,,
El cómico faltoso. Carlos Moreno,show,10.0,60.0,Carlos Moreno,Teatro de las Aguas,,
Curreles,show,10.0,70.0,"Raúl Fervé, Toni Moret, Sofia Squittieri",Teatro de las Aguas,,
Asco y Pena en directo- Un Podcast de Nacho García y Miguel Iríbar,show,12.0,70.0,Miguel Iribar,El Golfo Comedy Club,,
Fran Pati y Mikel Bermejo - MVPs,show,11.0,70.0,"Fran Pati, Mikel Bermejo",El Golfo Comedy Club,,
Stand Up en el momento,show,5.0,70.0,"Diego Daño, Varios Artistas",El Golfo Comedy Club,9.2,9.0
Carmen Fresca - Un espectáculo de Carmen Alcayde,show,11.0,70.0,Carmen Alcayde,Beer Station,8.8,2.0
Bhonny Lorenzo presenta Bonifacetico,show,12.0,70.0,Bhonny Lorenzo,El Golfo Comedy Club,10.0,6.0
Isabel Rey.- Diva de Barrio,show,11.0,70.0,Isabel Rey,El Golfo Comedy Club,,
Taka Gómez - Plátano,show,10.0,60.0,Taka Gómez,Beer Station,,
Tabú,show,7.5,70.0,David La Cruz,Bala Perdida Club (Hotel Axel Madrid),10.0,8.0
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!,show,12.0,70.0,"Borja Sumozas, Pilar de Francisco",El Golfo Comedy Club,9.2,9.0
Patxi Zubeldia.-  Bestia Parda,show,12.0,70.0,Patxi Zubeldia,El Golfo Comedy Club,10.0,1.0
Alberto Graupera.- No le busques sentido,show,12.0,70.0,Alberto Graupera,El Golfo Comedy Club,10.0,1.0
Juan Moreno - Infame,show,11.0,70.0,Juan Moreno,El Golfo Comedy Club,9.8,4.0
Estoy bien. Esther Gimeno,show,12.0,70.0,Esther Gimeno,El Golfo Comedy Club,8.7,6.0
Borja Manjón. Poca cosa.,show,12.0,70.0,Borja Manjón,El Golfo Comedy Club,9.8,5.0
El Ahorcado Open Mic,open_mic,9.0,90.0,rotativo,El Golfo Comedy Club,10.0,1.0
Nico Lozano. Borderline Golfo Edition.,show,12.0,70.0,Nico Lozano,El Golfo Comedy Club,,
No me puedo quejar,show,7.5,80.0,juanma duplay,Bala Perdida Club (Hotel Axel Madrid),,
Jaja Party - Presentado por Javi Durán,show,8.0,60.0,Javi Durán,Beer Station,8.5,6.0
Quique Matilla - Vastante vien,show,12.0,75.0,Quique Matilla,Beer Station,10.0,1.0
"Nayra Pérez presenta Por mí, ya estaría",show,11.0,60.0,Nayra Pérez,Beer Station,10.0,7.0
100% Risas y Humor - Mancheguito,show,10.0,60.0,Marce Gonzalez,Estación Malasaña,9.9,91.0
Summertime,show,10.5,80.0,"Elena Beltrán, Miguel Campos, Yunez Chaib, Pablo Ibarburu, Helena Pozuelo, Iggy Rubín",OFF LATINA,9.6,2.0
Ganso: un show de Edu J,show,10.0,70.0,Edu J,El Sombrerero Comedy Club,10.0,6.0
Menuda Pájara - Carmen Alcayde,show,8.0,60.0,Carmen Alcayde,Estación Malasaña,,
"Manu ""El Gamba"" en Platea",show,10.0,80.0,Manu el Gamba,Platea Café Teatro,,
Traficante de Risas - Boira Sigue Vivo!!!,show,8.0,60.0,Albert Boira,Clandestino Café Teatro,,
Funny hour open mic,open_mic,3.0,70.0,rotativo,Cafetería Valverde,10.0,7.0
Rodrigo Marques - Estamos vivos,show,9.75,60.0,Rodrigo Marques,Teatro Amaya,,
Miguel Sincero - Píkaro,show,15.0,90.0,Miguel Sincero,Teatro Chocita del Loro - Gran Vía,9.2,11.0
El caótico enamorar de Tristán,show,12.0,60.0,AUTOR: Francisco Florido,Teatro Victoria Madrid,,
Cincuentañer@s,show,10.0,60.0,José Boto,Clandestino Café Teatro,8.4,9.0
Heterobásicos,show,10.0,60.0,Toni Moret - Pablo Alcaraz,Clandestino Café Teatro,,
Popurrí: Miguel Miguel en Platea,show,10.0,80.0,Miguel Miguel,Platea Café Teatro,9.7,8.0
La vida me importa un huevo,show,10.0,75.0,Arturo Cejas,Vodevil Circus,10.0,1.0
Sujétame El Micrófono,show,8.0,60.0,"Vicente Pulki, Davis Corpa",Clandestino Café Teatro,,
Humor de Perros,show,10.0,60.0,Miguel Martín,Clandestino Café Teatro,8.7,9.0
Comedia Imprevisible,show,8.0,60.0,Ismael Galletero,Clandestino Café Teatro,,
Capilladas,show,10.0,60.0,Palo Capilla,Clandestino Café Teatro,10.0,3.0
Pero Que Me Estas Contando!? - Monologo y Comedia,show,10.0,60.0,Nicolás Biffi,Clandestino Café Teatro,8.5,16.0
"Kalderas, Sin Filtro",show,10.0,60.0,Kalderas,Clandestino Café Teatro,,
Situaciones incómodas - Marcos Arizmendi,show,10.0,60.0,Marcos Arizmendi,Clandestino Café Teatro,9.9,10.0
Sin Pelos En La Lengua,show,5.0,60.0,Ismael Galán,Clandestino Café Teatro,10.0,1.0
"Comedia Canalla, El Incorrecto",show,8.0,60.0,Dani Acosta,Clandestino Café Teatro,6.8,6.0
El Humor De Los 90s Hoy,show,10.0,60.0,El Largo,Clandestino Café Teatro,7.5,2.0
Histéricas,show,6.0,80.0,Javi DelPe,Estupenda Bar,9.5,5.0
Juanete Deltó: ¡de esta no salimos!,show,5.0,75.0,Javi DelPe,Estupenda Bar,,
"Alicia Montoya, Payasa",show,7.0,83.0,Alicia Montoya,Tropicana Beach Club Madrid,,
Mangos y Papayas,show,7.0,80.0,Javi DelPe,Estupenda Bar,9.8,80.0
Ríete que es un chiste: Himar Armas & Juan Morales,show,10.0,70.0,Juan Morales,Sala Galileo Galilei,9.5,252.0
Pifostio: show de comedia,show,8.0,75.0,"Dani Aparicio, Nico Camino",El Sombrerero Comedy Club,9.7,45.0
Ganso: el show de Edu J.,show,9.0,70.0,Edu J.,MadBeerHall,10.0,6.0
Micky McPhantom y Molina Gómez - ¿Todo Bien!,show,15.0,90.0,"Micky McPhantom, Molina Gómez",Teatro Chocita del Loro - Gran Vía,8.6,11.0
Aquí no hay playa Summer Edition,show,12.0,70.0,Diego Arjona,La Casa de Rovodorovsky Teatro,,
Hay que Tener Huevos / Alcobendas Sanse- La Nota Rock,show,4.0,90.0,Dan Comedia,La Nota Rock,,
Carolina Noriega en Platea,show,10.0,80.0,Carolina Noriega,Platea Café Teatro,10.0,1.0
Nacho punto G en Platea,show,10.0,90.0,Nacho punto G,Platea Café Teatro,8.1,4.0
Álvaro Seko en Platea,show,10.0,70.0,Alvaro Seko,Platea Café Teatro,10.0,2.0
Ruinas Planchuelo en Platea,show,10.0,80.0,Ruinas Planchuelo,Platea Café Teatro,7.5,1.0
Solo Amalio en Platea,show,10.0,80.0,Marcos Arizmendi,Platea Café Teatro,8.6,5.0
Ismael Galán en Platea,show,10.0,70.0,Platea,Platea Café Teatro,,
Pepa Golden en Platea,show,10.0,80.0,Pepa Golden,Platea Café Teatro,9.2,2.0
Miguel Sincero en Platea,show,10.0,70.0,Miguel Sincero,Platea Café Teatro,8.8,5.0
Juank en Platea,show,10.0,80.0,Juank,Platea Café Teatro,10.0,1.0
Mario Mechón en Platea,show,10.0,80.0,Mario Mechón,Platea Café Teatro,,
Jorge Gallardo en Platea,show,10.0,70.0,Jorge Gallardo,Platea Café Teatro,10.0,1.0
Oscar Bárez en Platea,show,10.0,80.0,Oscar Bárez,Platea Café Teatro,10.0,3.0
Dos de Cal,show,10.0,90.0,J. Piqueras,Vodevil Circus,,
La Vida me Importa un Huevo - Un monólogo de Arturo Cejas,show,6.0,60.0,Arturo Cejas,Estación Malasaña,9.2,6.0
El Capi es mi cuñao,show,10.0,50.0,Mario Ángel,Vodevil Circus,9.9,13.0
¡Se vienen Cositas!,show,10.0,60.0,Cachiporri,Estación Malasaña,,
Open Mic - Monólogos,open_mic,6.0,120.0,rotativo,Vodevil Circus,9.6,10.0
Zapatiburger: 4 cómicos + 1 batería + 1 cantante,show,5.0,80.0,Capitán Fornié,Sleep'n Atocha,,
Tonta,show,10.0,70.0,Cristina Gómez,Mad Beer Hall,,
Sin pelos en la lengua,show,10.0,60.0,Ismael Galán,Collage Burlesque,,
Micro Abierto Monólogos Madrid,open_mic,7.0,60.0,rotativo,Escuela de Danza y Centro Deportivo Belo Art,9.6,4.0
Comedia con Javi DelPe,show,6.0,80.0,"Javi Delpe, Javi DelPe",Estupenda Bar,9.1,73.0
"Dos Gordos muy Grasiosos, en Estación Malasaña",show,7.0,75.0,"Javi Delpe, Aitor Vega",Estación Malasaña,9.4,29.0
Luis Gerónimo Abreu - Camas,show,20.0,75.0,Luis Gerónimo Abreu,Pequeño Teatro Gran Vía de Madrid,,
Monólogos en San Sebastián de los Reyes,cuenta_local,6.5,75.0,varios,La Nota Rock,,
Si te ríes: ¡Gano! - Concurso monólogos (San Sebastián de los Reyes),concurso,6.0,83.0,rotativo,La Nota Rock,8.6,48.0
La Noche de la Risa,show,18.0,90.0,rotativo,Teatro Capitol Gran Vía,9.9,1237.0
